question_id,question,answer
Q1,The company has clear, consistently-applied processes for capturing client approvals.,4.0
Q2,Current tools give leadership a reliable view of project status.,3.0
Q3,Operational errors (billing, scope drift) are primarily caused by process gaps rather than resourcing.,4.0
Q4,The company can afford short-term SaaS subscriptions to solve urgent problems.,3.0
Q5,Data provenance and auditability are high priorities for the company.,5.0
Q6,Improvements in integrations would significantly reduce operational overhead.,4.0
Q7,I am willing to allocate budget to a validated pilot that reduces manual reconciliation.,4.0
Q8,Leadership has enough visibility into project risk and bottlenecks to intervene early.,3.0
Q9,The company can support a small pilot without disrupting core delivery commitments.,3.0
Q10,Standardising approvals and data capture is worth the effort even if it changes informal habits.,5.0
